tau_frac,psi_frac,dW_total,dW_total_pct,dW_r1_pct,dW_r2_pct,dW_r3_pct
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,7.226043673824734e-5,0.0011183578229944616,-0.01586855958702266,-0.014141376090023989,0.03295879660739804
0.0,0.2,0.00024265504776277425,0.0037555152335656287,-0.0416213860670018,-0.03245996184710389,0.08432780930273398
0.0,0.3,0.0001308679795810619,0.0020254130109138044,-0.06995390590157217,-0.04570399076236651,0.1202549710335
0.0,0.4,0.00016331530813484818,0.002527592700954225,-0.076207194159471,-0.051478593214672,0.13362487868873055
0.0,0.5,0.00013370185960237535,0.0020692723070144343,-0.0875578864100905,-0.05992353504507439,0.15181079208347426
0.0,0.6,0.0003627613274987951,0.0056143719412838616,-0.09297942576985833,-0.06694343659049613,0.17463721959955428
0.0,0.7,0.0005893450136769118,0.009121154482858149,-0.09484386321484374,-0.08763378953594315,0.2073069186620042
0.0,0.8,0.0002766194342624928,0.004281174073447269,-0.12137049209300353,-0.11888777843809953,0.24994987231560284
0.0,0.9,0.00023268106429963353,0.0036011502319697173,-0.13556296286200914,-0.13040175916074484,0.2733117795028508
0.0,1.0,0.00025353510401959767,0.0039239033111732186,-0.15267872464450588,-0.1460293991282421,0.30660235395054247
0.1,0.0,0.00012355465479707561,0.0019122263993534947,-0.004366106930493241,-0.0021175051444471352,0.012093180219397015
0.1,0.1,0.00024315866608137782,0.0037633096161051897,-0.01917411476146413,-0.01657991911065935,0.04649920016526324
0.1,0.2,0.0004170693611369458,0.006454884634151726,-0.042866793015057046,-0.034487829657180155,0.09558793647985553
0.1,0.3,0.00033924229295489994,0.005250373362549558,-0.07188364138203496,-0.04841842978496637,0.1344320465763427
0.1,0.4,0.00037168962150868623,0.005752553052589978,-0.07813692963993378,-0.0541930322372926,0.14780195423157325
0.1,0.5,0.00035303687875831713,0.00546386893003558,-0.09049673320150431,-0.06236672524634265,0.1672230450249652
0.1,0.6,0.0005817062841559917,0.009002931658542749,-0.0969848387309344,-0.06658432158387191,0.18832404015067641
0.1,0.7,0.0008295389703336653,0.012838579986887675,-0.0977608524210127,-0.08887623810698257,0.22247428079789675
0.1,0.8,0.0006126705327131887,0.009482158067490776,-0.13285714680762503,-0.10771404053085941,0.26576643862282195
0.1,0.9,0.000596133516917341,0.009226218554541771,-0.13517182894519994,-0.13199128635899016,0.2912242870134566
0.1,1.0,0.0007004655912066227,0.010840941586085513,-0.14759150430195056,-0.14662043511291592,0.32272967538738057
0.2,0.0,9.652093559608943e-5,0.0014938318709260736,-0.011469693453226869,-0.01864232151699848,0.03416210392197517
0.2,0.1,0.00018097811836614852,0.0028009558702054003,-0.02543545000595365,-0.032383764783284454,0.06540645423851597
0.2,0.2,0.0003548888134217165,0.005492530888251937,-0.049128128259567236,-0.050291675329846734,0.1144951905531287
0.2,0.3,0.0002769617452402784,0.004286471940124855,-0.07800376597700107,-0.0640806020328018,0.1530554015294038
0.2,0.4,0.0002519927925082044,0.00390003331782528,-0.08586720633608173,-0.07140371486546836,0.16690069489770734
0.2,0.5,0.00023334004975872347,0.0036113491952846286,-0.0982270098976109,-0.07957740787449766,0.1863217856910993
